lam_f,lam_b,d_lam,dR_jump,max_gap,area,R_end,rho_spearman,rho_pearson,tag,topo,law,c,sigma,seed,n_nodes,mean_deg
,,,0.17487890505150577,0.1124778758172933,0.13820793049311927,0.18000409794709377,0.8824804277231296,0.8029303745076131,A,ws,lorentz,1.0,0.0,31,600,6.0
,,,0.10461192346969315,0.09126527310427798,0.13486228762068733,0.11005905587949293,0.8960020070659075,0.8127403365380613,A,ws,lorentz,1.0,0.0,32,600,6.0
,,,0.11849185607602568,0.09213210673282497,0.13855556923418583,0.09213737217751317,0.8575038225268167,0.8179879325306134,A,ws,lorentz,1.0,0.0,33,600,6.0
4.9,5.6000000000000005,-0.7000000000000002,0.29387423736082574,0.3937495804967769,0.27161471791220176,0.8767378645041518,0.013518514843360521,-0.007179189581038949,A,ws,bimodal,0.0,0.0,31,600,6.0
4.7,4.9,-0.20000000000000018,0.31573311331487314,0.2802966890368677,0.3152566248317681,0.8958725878566207,0.04235508391660462,0.033758135217339356,A,ws,bimodal,0.0,0.0,32,600,6.0
5.0,5.800000000000001,-0.8000000000000007,0.4840599893932289,0.2031505091637809,0.21344100882949563,0.8422391942887352,0.014285961180651495,0.03695978187513998,A,ws,bimodal,0.0,0.0,33,600,6.0
4.4,4.9,-0.5,0.4143756659214459,0.22801664431833019,0.1946921155288692,0.8895138689915766,0.8824814583722997,0.6423457217927239,A,ws,bimodal,1.0,0.0,31,600,6.0
3.8000000000000003,3.7,0.10000000000000009,0.195961950338138,0.22690256815250198,0.291201420814963,0.9169695325576914,0.8960053832081075,0.6522991486842747,A,ws,bimodal,1.0,0.0,32,600,6.0
4.0,4.5,-0.5,0.4743772943541744,0.33627933979318386,0.21362971640063833,0.9140743462366117,0.8575050620435806,0.6101066196833873,A,ws,bimodal,1.0,0.0,33,600,6.0
,,,0.2219313743080734,0.2417843186129836,0.2753658951156356,0.08982779140708144,0.0,0.0,A,ring,gauss,0.0,0.0,31,600,6.0
,,,0.21652729627014575,0.2214717483910892,0.2275890705497114,0.236348901642975,0.0,0.0,A,ring,gauss,0.0,0.0,32,600,6.0
,,,0.13289875166697313,0.10492221820833038,0.13177452088614086,0.06653359211645489,0.0,0.0,A,ring,gauss,0.0,0.0,33,600,6.0
,,,0.19197205001964168,0.1630998039506897,0.21536001950954664,0.12527594976741946,0.0,0.0,A,ring,gauss,1.0,0.0,31,600,6.0
,,,0.21447573536516928,0.1201242221357661,0.22746460004180669,0.28480612797019467,0.0,0.0,A,ring,gauss,1.0,0.0,32,600,6.0
,,,0.1418821819077361,0.19870254613085264,0.2027185989063472,0.03256569473843233,0.0,0.0,A,ring,gauss,1.0,0.0,33,600,6.0
,,,0.13980586147552942,0.1635756080148245,0.2674578829131286,0.2243121755101792,0.0,0.0,A,ring,uniform,0.0,0.0,31,600,6.0
,,,0.12206900144723216,0.1858427125705635,0.2287619797169396,0.0673028524372997,0.0,0.0,A,ring,uniform,0.0,0.0,32,600,6.0
,,,0.2192811639992081,0.16230939986523907,0.19928616254536657,0.12488063705169884,0.0,0.0,A,ring,uniform,0.0,0.0,33,600,6.0
,,,0.1399297063132729,0.1595188730647929,0.18914828005931503,0.09321355221922584,0.0,0.0,A,ring,uniform,1.0,0.0,31,600,6.0
,,,0.20416016110525814,0.23697404544141132,0.22295497512563212,0.10149538263934002,0.0,0.0,A,ring,uniform,1.0,0.0,32,600,6.0
,,,0.1645754891478439,0.16913423942888237,0.2041040548774254,0.10617474175009166,0.0,0.0,A,ring,uniform,1.0,0.0,33,600,6.0
,,,0.07671300799134649,0.06550538959585026,0.0893488410668523,0.1236582966658872,0.0,0.0,A,ring,lorentz,0.0,0.0,31,600,6.0
,,,0.07955156258795368,0.11169926253613313,0.08770486853090234,0.11924366234054398,0.0,0.0,A,ring,lorentz,0.0,0.0,32,600,6.0
,,,0.10134102798134034,0.1092047634498359,0.09720201299479404,0.06640951495086485,0.0,0.0,A,ring,lorentz,0.0,0.0,33,600,6.0
,,,0.07851690173815548,0.05788965653330858,0.06322265691130007,0.08782629090742057,0.0,0.0,A,ring,lorentz,1.0,0.0,31,600,6.0
,,,0.06439650394083059,0.06750895462115841,0.10517002727622642,0.055491815712303924,0.0,0.0,A,ring,lorentz,1.0,0.0,32,600,6.0
,,,0.11008054863935166,0.09966815382958172,0.10520870247634495,0.16037471006206777,0.0,0.0,A,ring,lorentz,1.0,0.0,33,600,6.0
,,,0.16880509508692826,0.17850043585412156,0.22885851573758892,0.07696997716911591,0.0,0.0,A,ring,bimodal,0.0,0.0,31,600,6.0
,,,0.1447254447622902,0.13472361466640947,0.19735905458428765,0.016552369828665432,0.0,0.0,A,ring,bimodal,0.0,0.0,32,600,6.0
,,,0.12999711699195926,0.1415922770877212,0.134323691535003,0.07314889776117339,0.0,0.0,A,ring,bimodal,0.0,0.0,33,600,6.0
,,,0.21187406562622751,0.23026492633222656,0.16038088281383173,0.06184616118959523,0.0,0.0,A,ring,bimodal,1.0,0.0,31,600,6.0
,,,0.2230195334304158,0.21048095398698424,0.24386686553714337,0.13271619228309425,0.0,0.0,A,ring,bimodal,1.0,0.0,32,600,6.0
,,,0.1456772377967594,0.13235495640608708,0.175944387386478,0.049251760438907076,0.0,0.0,A,ring,bimodal,1.0,0.0,33,600,6.0
2.3000000000000003,2.3000000000000003,0.0,0.21054540325081564,0.14742526021164,0.046476160351110386,0.9855647117327442,0.0,0.0,A,rr,gauss,0.0,0.0,31,600,6.0
2.3000000000000003,2.3000000000000003,0.0,0.21532481071177878,0.05928211441811354,0.032510691735854566,0.98525981534497,0.0,0.0,A,rr,gauss,0.0,0.0,32,600,6.0
2.5,2.4000000000000004,0.09999999999999964,0.15900421658038144,0.09751863713026393,0.028378240975058006,0.9821504392599069,0.0,0.0,A,rr,gauss,0.0,0.0,33,600,6.0
2.3000000000000003,2.2,0.10000000000000009,0.20058509763501745,0.11428973290791478,0.03902574025331627,0.9869251513349017,0.0,0.0,A,rr,gauss,1.0,0.0,31,600,6.0
2.5,2.5,0.0,0.19736211631520145,0.09767558841722657,0.04897788359062814,0.9842971119017164,0.0,0.0,A,rr,gauss,1.0,0.0,32,600,6.0
2.4000000000000004,2.4000000000000004,0.0,0.2157444909763006,0.15265350678820866,0.05691872649535149,0.9834284267306987,0.0,0.0,A,rr,gauss,1.0,0.0,33,600,6.0
