lam_f,lam_b,d_lam,dR_jump,max_gap,area,R_end,topo,law,c,sigma,seed,rho_spearman,rho_pearson,mean_deg,std_deg
5.0,5.0,0.0,0.40372095240210437,0.30825528702756977,0.12975660687161694,0.8488490500615175,ba,lorentz,1.0,0.0,31,0.9650918110961025,0.7351188395673587,5.97,6.849995133818223
5.75,5.125,0.625,0.5916382339132809,0.5870902137405386,0.38488708466802424,0.848914085126777,ba,lorentz,1.0,0.0,32,0.9638932188635072,0.7413764834179124,5.97,6.87404053911041
1.5,1.5,0.0,0.09638118683640867,0.01389064455249752,0.006705382052096646,0.9840080117369959,ba,gauss,-1.0,0.0,31,-0.965091880200385,-0.6435728561039581,5.97,6.849995133818223
1.5,1.5,0.0,0.08421783745690242,0.007877976650131235,0.002495459475220207,0.9846313765448346,ba,gauss,-1.0,0.0,32,-0.9638932615674074,-0.6480686260394262,5.97,6.87404053911041
2.0,2.0,0.0,0.07074319027724918,0.05643818282820556,0.0206071793604809,0.9714383468448619,ba,gauss,-0.5,0.0,31,-0.43731182250676814,-0.30901761749635315,5.97,6.849995133818223
1.875,1.875,0.0,0.10546430988760763,0.023004348481164172,0.012309696124632976,0.9769975525447376,ba,gauss,-0.5,0.0,32,-0.5006059207340678,-0.3719694371394668,5.97,6.87404053911041
2.125,2.125,0.0,0.07928867416074696,0.036947245908027365,0.016431360441653716,0.9674501153260076,ba,gauss,0.0,0.0,31,0.026894491565908674,0.024346080375019195,5.97,6.849995133818223
2.125,2.125,0.0,0.07944813373067378,0.01794403807539524,0.008887868880355126,0.9728439043953224,ba,gauss,0.0,0.0,32,-0.07632297816224612,-0.07930275249191354,5.97,6.87404053911041
2.0,2.0,0.0,0.07763893209542216,0.045026877988770045,0.02513155320208191,0.968590842228629,ba,gauss,0.25,0.0,31,0.2504112229413778,0.18677477900839257,5.97,6.849995133818223
2.125,2.0,0.125,0.08539244354945386,0.019799184795975353,0.006752986657310721,0.9719546786584429,ba,gauss,0.25,0.0,32,0.14616729336697104,0.0861391219780268,5.97,6.87404053911041
1.875,1.875,0.0,0.08850051701811235,0.030907898373841614,0.012214802779467996,0.9713302744873128,ba,gauss,0.5,0.0,31,0.47414529174030234,0.3389951509555261,5.97,6.849995133818223
2.0,2.0,0.0,0.07660956464080648,0.01945823277907867,0.009026752873579014,0.9731564506419728,ba,gauss,0.5,0.0,32,0.39022922724615916,0.2591754521709608,5.97,6.87404053911041
1.75,1.75,0.0,0.08690412207691939,0.022689281260383054,0.009409390803707327,0.976385883170405,ba,gauss,0.75,0.0,31,0.7064223244719254,0.4929436191529817,5.97,6.849995133818223
1.875,1.875,0.0,0.0874869376687393,0.019068926190685405,0.013505384155979001,0.9769526997197885,ba,gauss,0.75,0.0,32,0.6686635790605345,0.4451179667189633,5.97,6.87404053911041
1.5,1.5,0.0,0.09084686447059857,0.011408960836049503,0.005199864824433014,0.9840080117369963,ba,gauss,1.0,0.0,31,0.965091880200385,0.6435728561039581,5.97,6.849995133818223
1.5,1.5,0.0,0.08584362494164693,0.013836805150353182,0.00695782674761279,0.9846313765448346,ba,gauss,1.0,0.0,32,0.9638932615674074,0.6480686260394262,5.97,6.87404053911041
1.625,1.625,0.0,0.18370886261304006,0.06692300975705011,0.02720713142734172,0.9347144757293242,er,degree,-1.0,0.0,31,-0.9805263848031237,-0.9410812220552336,5.812709030100335,2.4416342090879812
1.625,1.625,0.0,0.24189787884805514,0.02991880117183665,0.01058718051542314,0.9327980053995902,er,degree,-1.0,0.0,32,-0.9786980588482718,-0.9440242786261378,6.016666666666667,2.4013306496375897
