kind,lag,mean_corr,vol
ordinary peak,-25,0.15695442573959997,0.0026136713643337404
ordinary peak,-20,0.1587344483436345,0.002771977636809193
ordinary peak,-15,0.17345337952480513,0.002864365143393751
ordinary peak,-10,0.1777047627343024,0.002828813979548652
ordinary peak,-5,0.17096377322424794,0.002570717691325018
ordinary peak,0,0.1634558663078135,0.0025679371658570696
ordinary peak,5,0.18486499008504093,0.002514592136901804
ordinary peak,10,0.19837482781755494,0.0024965081387647824
ordinary peak,15,0.20156926519291635,0.0024848667842100693
ordinary peak,20,0.19722704763298188,0.002340023302692065
ordinary peak,25,0.19873581435273285,0.0021612773930063294
ordinary peak,30,0.19070505823847245,0.0019779711718877196
ordinary peak,35,0.16694100556360092,0.0018903726086231803
ordinary peak,40,0.12496025270473828,0.0019012402285770366
ordinary peak,45,0.09899316139115777,0.0017989024661797094
ordinary peak,50,0.09860806450725415,0.0018338764439398037
ordinary peak,55,0.10356795242497906,0.0019831067091565895
ordinary peak,60,0.1106608403449673,0.0021061044015757615
ordinary peak,-60,0.0794946225952886,0.0021448972441002333
ordinary peak,-55,0.07621049940263779,0.0024195559480321826
ordinary peak,-50,0.09053808625077522,0.002793793305107061
ordinary peak,-45,0.08853103183752277,0.0027311566187879967
ordinary peak,-40,0.08367916694006097,0.0027555259456106076
ordinary peak,-35,0.08097392252535078,0.002733490713799096
ordinary peak,-30,0.07910172386650954,0.0028622911218776966
ordinary peak,-25,0.07332105566485983,0.0028168917522525517
ordinary peak,-20,0.08037478027035494,0.003389495230249742
ordinary peak,-15,0.0866744265376027,0.0036015949960842143
ordinary peak,-10,0.09727075492211337,0.0035647098494182984
ordinary peak,-5,0.0919929839016881,0.0035814480488888327
ordinary peak,0,0.08440828723965842,0.003631800012756056
ordinary peak,5,0.09487599831634812,0.003618956736313421
ordinary peak,10,0.079637510287511,0.0032906844872991644
ordinary peak,15,0.08229273819002295,0.0033528631880514284
ordinary peak,20,0.0868421630445704,0.0036754254363142156
ordinary peak,25,0.09768802423969228,0.003732034475142716
ordinary peak,30,0.10406194501981551,0.00382429860631014
ordinary peak,35,0.10008855199961651,0.0038369718956868405
ordinary peak,40,0.09114480843053889,0.003300345535330953
ordinary peak,45,0.09234578467483374,0.0031563959469510707
ordinary peak,50,0.0799681923599554,0.0032758074609843093
ordinary peak,55,0.09176021052790316,0.0033185289487782737
ordinary peak,60,0.09960291845253383,0.0032524611202137048
ordinary peak,-60,0.11058508266779139,0.002854413233383399
ordinary peak,-55,0.12588430623773803,0.002951074004171148
ordinary peak,-50,0.12078810038931698,0.0028879257632497776
ordinary peak,-45,0.11564366780596035,0.0028526180753543624
ordinary peak,-40,0.11155526076018035,0.002964906358454622
ordinary peak,-35,0.1175470244895233,0.0029380510604996805
ordinary peak,-30,0.11086457433610471,0.002944893875445269
ordinary peak,-25,0.09765817263506396,0.0026930156782601126
ordinary peak,-20,0.09330410386478685,0.002680655956008687
ordinary peak,-15,0.08824587033339741,0.002562735143342691
ordinary peak,-10,0.07353957041004157,0.0023917058426481713
ordinary peak,-5,0.06867941312021157,0.002279549386465059
ordinary peak,0,0.07718847146376392,0.002276410482606466
ordinary peak,5,0.060426013965555254,0.002096873454666932
ordinary peak,10,0.06101845982482198,0.002083646486902966
ordinary peak,15,0.06434662804757983,0.002134430280710877
ordinary peak,20,0.06418752445665546,0.0019508232601841776
ordinary peak,25,0.06610178787342469,0.002018426753059634
ordinary peak,30,0.06346165616060342,0.0019927696849347744
ordinary peak,35,0.05562320129573944,0.0017421009340033485
ordinary peak,40,0.06076482628708636,0.001899580277127437
ordinary peak,45,0.06842420191827116,0.0020252476165592936
ordinary peak,50,0.06401311907544066,0.0018923724683216816
ordinary peak,55,0.06294626934957974,0.001963500022775871
ordinary peak,60,0.09565956354723913,0.0023779808366217055
ordinary peak,-60,0.09187317358790269,0.0025546205555357438
ordinary peak,-55,0.0932722815265299,0.0027166391137006807
ordinary peak,-50,0.10112251189790009,0.002803247362071903
ordinary peak,-45,0.12653359360404087,0.0031563288503494553
ordinary peak,-40,0.1184012512064745,0.00311292957918476
ordinary peak,-35,0.11498731428127199,0.0029988427444914184
ordinary peak,-30,0.1175913324661477,0.003004075989229185
ordinary peak,-25,0.10993482141100663,0.0029958459025116375
ordinary peak,-20,0.11612794533434787,0.0030981506896154607
ordinary peak,-15,0.11095839832512457,0.002953518600527792
ordinary peak,-10,0.11403822387737962,0.0030242435601770716
ordinary peak,-5,0.1179352116249469,0.0030201016186839832
ordinary peak,0,0.12283844408799009,0.0029961185885594528
ordinary peak,5,0.12855946670142823,0.0028031731030089407
ordinary peak,10,0.12505912191397311,0.0028970529240186695
ordinary peak,15,0.10181062047549892,0.0024528567557703354
ordinary peak,20,0.10318698170228456,0.002392175065919345
ordinary peak,25,0.10932912870282979,0.0023759618241816485
ordinary peak,30,0.10592476719111385,0.0023921363378910576
ordinary peak,35,0.11073223630754668,0.0024086526264784826
ordinary peak,40,0.1042518192911033,0.002172424116225951
ordinary peak,45,0.09129354037965567,0.002233860208900888
ordinary peak,50,0.08932015113771932,0.0022301346819849073
ordinary peak,55,0.09012256917059797,0.0022177956743185947
ordinary peak,60,0.08925817107219138,0.0022450215937892385
