kind,event,lag,mean_corr
crash onset,2176303,90,0.7089459300041199
ordinary peak,5,30,0.163846954703331
ordinary peak,5,40,0.1753319352865219
ordinary peak,5,50,0.23076006770133972
ordinary peak,5,60,0.25596797466278076
ordinary peak,5,70,0.3041139841079712
ordinary peak,5,80,0.24787884950637817
ordinary peak,5,90,0.26232197880744934
ordinary peak,49619,-90,0.2035796195268631
ordinary peak,49619,-80,0.16573446989059448
ordinary peak,49619,-70,0.15947826206684113
ordinary peak,49619,-60,0.13393567502498627
ordinary peak,49619,-50,0.19706107676029205
ordinary peak,49619,-40,0.2306290864944458
ordinary peak,49619,-30,0.1840309500694275
ordinary peak,49619,-20,0.21464692056179047
ordinary peak,49619,-10,0.23319043219089508
ordinary peak,49619,0,0.2266615778207779
ordinary peak,49619,10,0.2100847065448761
ordinary peak,49619,20,0.18841244280338287
ordinary peak,49619,30,0.22498880326747894
ordinary peak,49619,40,0.20347437262535095
ordinary peak,49619,50,0.28707826137542725
ordinary peak,49619,60,0.2897811532020569
ordinary peak,49619,70,0.24619607627391815
ordinary peak,49619,80,0.15934748947620392
ordinary peak,49619,90,0.1652817577123642
ordinary peak,93424,-90,0.1254674196243286
ordinary peak,93424,-80,0.10983897000551224
ordinary peak,93424,-70,0.14615002274513245
ordinary peak,93424,-60,0.17070230841636658
ordinary peak,93424,-50,0.17078332602977753
ordinary peak,93424,-40,0.08222716301679611
ordinary peak,93424,-30,0.05442831292748451
ordinary peak,93424,-20,0.04183579608798027
ordinary peak,93424,-10,0.048969756811857224
ordinary peak,93424,0,0.07945171743631363
ordinary peak,93424,10,0.143268883228302
ordinary peak,93424,20,0.1576729267835617
ordinary peak,93424,30,0.14585882425308228
ordinary peak,93424,40,0.06514013558626175
ordinary peak,93424,50,0.11416180431842804
ordinary peak,93424,60,0.12582507729530334
ordinary peak,93424,70,0.16155850887298584
ordinary peak,93424,80,0.17425741255283356
ordinary peak,93424,90,0.21995237469673157
ordinary peak,136631,-70,0.331256240606308
ordinary peak,136631,-60,0.2704528868198395
ordinary peak,136631,-50,0.2767336666584015
ordinary peak,136631,-40,0.1404699832201004
ordinary peak,136631,-30,0.2728084921836853
ordinary peak,136631,-20,0.2544797956943512
ordinary peak,136631,-10,0.3235442340373993
ordinary peak,136631,0,0.3085164725780487
ordinary peak,136631,10,0.31218114495277405
ordinary peak,136631,20,0.28241339325904846
ordinary peak,136631,30,0.2879246473312378
ordinary peak,136631,40,0.2666645050048828
ordinary peak,136631,50,0.2153523713350296
ordinary peak,136631,60,0.2501017153263092
ordinary peak,136631,70,0.29005733132362366
ordinary peak,136631,80,0.311522901058197
ordinary peak,136631,90,0.2784493565559387
ordinary peak,178342,-50,0.16931772232055664
ordinary peak,178342,-40,0.09536946564912796
ordinary peak,178342,-30,0.11424492299556732
ordinary peak,178342,-20,0.11144362390041351
ordinary peak,178342,-10,0.17672812938690186
ordinary peak,178342,0,0.155330091714859
ordinary peak,178342,10,0.16777117550373077
ordinary peak,178342,20,0.15189537405967712
ordinary peak,178342,30,0.14040949940681458
