market,kind,date,trough,mean_corr,planted_mean_corr,absorption,planted_absorption,flicker,planted_flicker,quarter
jp_largecap,crash,2018-01-23,2018-03-23,-0.052620902295412275,-0.022620902295412252,-0.04375467819763429,-0.01375467819763431,-0.11598459653202199,-0.08598459653202205,2018Q1
jp_largecap,crash,2018-10-02,2018-12-25,0.034691959645392005,0.06469195964539201,0.04523605833096285,0.07523605833096284,-0.004723718453870825,0.025276281546129216,2018Q4
jp_largecap,crash,2020-01-20,2020-03-19,-0.07273085446115153,-0.04273085446115151,-0.05459294070907373,-0.024592940709073686,-0.021553353579524665,0.008446646420475384,2020Q1
jp_largecap,crash,2021-09-14,2021-10-06,-0.020236438519788763,0.00976356148021131,-0.018581815752476676,0.011418184247523342,-0.017755858717785955,0.012244141282214035,2021Q3
jp_largecap,crash,2022-08-17,2022-09-30,0.07634966607993882,0.10634966607993884,0.0743282042021104,0.10432820420211042,0.09686101724861418,0.12686101724861418,2022Q3
jp_largecap,crash,2024-07-11,2024-08-05,-0.011301209413963453,0.018698790586036462,-0.003200365766689861,0.026799634233310166,-0.03630121030121025,-0.006301210301210253,2024Q3
kr_kospi200,crash,2000-07-10,2000-09-22,0.0019638811139060103,0.031963881113905995,0.006906632662011553,0.03690663266201156,0.004515380689980905,0.034515380689980966,2000Q3
kr_kospi200,crash,2001-01-22,2001-04-10,0.03731173828057284,0.06731173828057282,0.026847332939363665,0.05684733293936366,-0.007524330824415321,0.02247566917558466,2001Q1
kr_kospi200,crash,2001-08-17,2001-09-17,0.03734428943995458,0.06734428943995459,0.03291320323564493,0.06291320323564493,0.03730827830338608,0.06730827830338605,2001Q3
kr_kospi200,crash,2002-04-18,2002-06-26,0.10297378772748585,0.13297378772748583,0.0973513940099,0.12735139400989998,0.15239148118613877,0.18239148118613877,2002Q2
kr_kospi200,crash,2002-12-03,2003-02-14,-0.0464486157351916,-0.016448615735191654,-0.047838493470393616,-0.01783849347039361,-0.12662342429013673,-0.0966234242901367,2002Q4
kr_kospi200,crash,2004-04-23,2004-05-17,0.04065384317605633,0.07065384317605636,0.026970775856703332,0.056970775856703335,0.050220494417862846,0.08022049441786284,2004Q2
kr_kospi200,crash,2006-05-11,2006-06-13,0.038328907724172634,0.06832890772417262,0.03931726531071655,0.06931726531071654,0.0022873075998075926,0.03228730759980762,2006Q2
kr_kospi200,crash,2007-07-25,2007-08-17,-0.02298253976213334,0.007017460237866667,-0.019079206256177046,0.01092079374382298,-0.004102517106549356,0.025897482893450667,2007Q3
kr_kospi200,crash,2008-05-16,2008-07-16,0.0008653258090973864,0.03086532580909737,0.015436106914317549,0.04543610691431752,-0.010687954563319516,0.019312045436680487,2008Q2
kr_kospi200,crash,2009-01-07,2009-03-02,0.008763142060658605,0.03876314206065859,0.004005330492679579,0.0340053304926796,0.0346808847663606,0.0646808847663606,2009Q1
kr_kospi200,crash,2010-04-26,2010-05-25,-0.014848758080753649,0.015151241919246375,-0.018192774495453447,0.011807225504546548,-0.022214399070346558,0.0077856009296534455,2010Q2
kr_kospi200,crash,2011-07-07,2011-09-26,0.004549113279636493,0.03454911327963649,0.02735951250556501,0.057359512505564966,-0.047966125833882635,-0.01796612583388262,2011Q3
kr_kospi200,crash,2012-04-03,2012-05-18,0.015830223001467476,0.04583022300146747,0.021221010511365677,0.05122101051136566,0.06107653174501329,0.09107653174501329,2012Q2
kr_kospi200,crash,2013-05-29,2013-06-25,0.02826226952604502,0.05826226952604502,0.014002555833828922,0.04400255583382893,-0.001023657883533866,0.028976342116466134,2013Q2
