market,date,fall
nl_aex,2012-03-16,-0.1038165898802419
nl_aex,2013-05-22,-0.10711882755283642
nl_aex,2014-09-19,-0.11619768486739823
nl_aex,2015-08-05,-0.16644159943188375
nl_aex,2018-11-13,-0.10116876202154401
nl_aex,2020-02-14,-0.3577864713272594
nl_aex,2022-05-31,-0.10819493372589628
se_omx30,2011-05-11,-0.10099766132179
se_omx30,2012-03-16,-0.10328924269678086
se_omx30,2013-05-22,-0.11352888857406762
se_omx30,2014-09-19,-0.10662826657543256
se_omx30,2015-07-20,-0.13629765418627415
se_omx30,2018-09-27,-0.11399629923141075
se_omx30,2019-04-29,-0.10798382536515627
se_omx30,2020-02-19,-0.31995811164241705
se_omx30,2022-06-02,-0.10123906358338675
se_omx30,2025-02-26,-0.21239094315610862
se_omx30,2026-02-27,-0.11134282154216124
sg_sti,2002-08-22,-0.12931091807399298
sg_sti,2004-04-08,-0.10599293515643793
sg_sti,2006-05-03,-0.14249243110335064
sg_sti,2007-07-24,-0.14581200092830104
sg_sti,2009-01-05,-0.15352726172723086
sg_sti,2010-04-14,-0.12223896229683351
sg_sti,2011-08-01,-0.1534738786913582
sg_sti,2013-05-22,-0.11002296965884761
sg_sti,2015-07-20,-0.1571344993773961
sg_sti,2025-03-27,-0.14765032810168877
uk_ftse100,2002-08-27,-0.1749781026767736
uk_ftse100,2007-12-10,-0.15036398722320543
uk_ftse100,2008-08-29,-0.30239860385141515
uk_ftse100,2010-04-15,-0.15181112526824037
uk_ftse100,2011-07-07,-0.17299241658407816
uk_ftse100,2013-05-22,-0.11859125041205842
uk_ftse100,2020-01-17,-0.14254814401783578
uk_ftse100,2025-03-03,-0.1343433128094449
uk_ftse250,2002-08-27,-0.171701648821187
uk_ftse250,2006-05-09,-0.1394814354468067
uk_ftse250,2007-10-31,-0.12455851271858387
uk_ftse250,2008-05-19,-0.15501122732854333
uk_ftse250,2009-01-06,-0.12016282855883853
uk_ftse250,2010-04-26,-0.14038215485231942
uk_ftse250,2011-07-07,-0.18964805851638233
uk_ftse250,2013-05-22,-0.10468760025607582
uk_ftse250,2015-12-29,-0.12820585506161786
uk_ftse250,2016-06-23,-0.13647558827559347
uk_ftse250,2020-02-20,-0.41327677913493954
uk_ftse250,2022-01-04,-0.10228187568399472
uk_ftse250,2022-08-15,-0.1510440692089321
uk_ftse250,2023-09-14,-0.11199117958846483
uk_ftse250,2026-02-27,-0.11797262770512162
us_sp400_mid,2002-08-22,-0.16326884608114922
us_sp400_mid,2006-05-08,-0.12388289697121013
us_sp400_mid,2007-07-13,-0.11472313788833366
us_sp400_mid,2008-06-05,-0.13872081873782727
us_sp400_mid,2009-01-06,-0.15878579133586002
us_sp400_mid,2010-04-23,-0.15122026859576698
us_sp400_mid,2011-07-07,-0.2338555937137139
us_sp400_mid,2014-09-02,-0.10722830915013326
us_sp400_mid,2015-08-17,-0.10771780625527916
us_sp400_mid,2020-02-20,-0.4214242393471036
us_sp400_mid,2022-01-04,-0.1171576617763681
us_sp400_mid,2022-08-16,-0.16350301476871176
us_sp500,2002-08-22,-0.16840136393633198
us_sp500,2007-12-10,-0.13553125823352186
us_sp500,2008-08-11,-0.11409458046207199
us_sp500,2010-04-23,-0.1370350737538205
us_sp500,2011-07-07,-0.1727435412028132
us_sp500,2015-07-20,-0.12247920403191992
us_sp500,2018-01-26,-0.10159530548956275
us_sp500,2018-11-07,-0.1411817059503494
us_sp500,2020-02-19,-0.3392496000265327
us_sp500,2022-03-29,-0.15036275829772905
us_sp500,2025-02-19,-0.10133702671788514
us_sp600_small,2002-05-15,-0.12155276535508774
us_sp600_small,2003-01-06,-0.1085298186271686
us_sp600_small,2004-06-30,-0.1109499045237996
us_sp600_small,2006-05-08,-0.12872637938483367
us_sp600_small,2007-07-19,-0.1097059594107096
us_sp600_small,2008-06-05,-0.13622010727869316
us_sp600_small,2009-01-06,-0.20062594406084455
us_sp600_small,2010-04-23,-0.1594577312784341
us_sp600_small,2011-07-07,-0.2259821283410396
us_sp600_small,2015-12-01,-0.14622689023573043
us_sp600_small,2018-08-31,-0.1210713993975171
us_sp600_small,2019-05-06,-0.10168604281357185
us_sp600_small,2020-01-16,-0.15009173184517377
us_sp600_small,2020-08-12,-0.10987153868339283
us_sp600_small,2022-01-04,-0.12175609099726203
us_sp600_small,2022-08-16,-0.17982325326522086
us_sp600_small,2024-11-25,-0.10534362848317769
world_indices,2002-08-22,-0.12874627335150868
world_indices,2004-04-05,-0.10950655968413303
world_indices,2006-05-09,-0.13972479426620987
world_indices,2007-07-23,-0.11435515354838244
world_indices,2008-02-27,-0.10503901249946723
world_indices,2009-01-06,-0.11705618109826588
world_indices,2010-04-15,-0.13525716170215862
world_indices,2011-07-04,-0.16250963181617184
world_indices,2013-05-20,-0.10530118463705973
world_indices,2020-02-12,-0.33152935634406866
